Year,EventId,PlayerCode,Date,EventName,EventType,EventCountry,PlayerRank,PointsGained,PrizeUsd,SglDrawSize,Surface,TotPrizeMoney
2024,540,bd06,2024-07-01,Wimbledon,GS,Great Britain,112,200,285777,128,Grass,20747000
2024,8994,bd06,2024-06-24,Mallorca,250,Spain,122,50,30125,28,Grass,932135
2024,500,bd06,2024-06-17,Halle,500,Germany,83,13,9645,32,Grass,2255655
2024,440,bd06,2024-06-10,'s-Hertogenbosch,250,Netherlands,85,25,13075,28,Grass,690135
2024,520,bd06,2024-05-27,Roland Garros,GS,France,81,10,79344,128,Clay,24961000
2024,3824,bd06,2024-05-13,Bordeaux,CH,France,85,25,6613,28,Clay,205000
2024,1536,bd06,2024-04-22,ATP Masters 1000 Madrid,1000,Spain,86,40,23140,96,Clay,7877020
2024,425,bd06,2024-04-15,Barcelona,500,Spain,84,50,39558,48,Clay,2782960
2024,410,bd06,2024-04-08,ATP Masters 1000 Monte-Carlo,1000,Monaco,90,80,39607,56,Clay,5950575
2024,7290,bd06,2024-04-01,Estoril,250,Portugal,93,25,10969,28,Clay,579320
2024,403,bd06,2024-03-18,ATP Masters 1000 Miami,1000,"FL, U.S.A.",100,50,34500,96,Hard,8995555
2024,495,bd06,2024-02-26,Dubai,500,U.A.E.,98,13,11760,32,Hard,2941785
2024,451,bd06,2024-02-19,Doha,250,Qatar,97,0,14970,28,Hard,1395875
2024,407,bd06,2024-02-12,Rotterdam,500,Netherlands,100,0,5166,32,Hard,2134985
2024,496,bd06,2024-02-05,Marseille,250,France,102,25,13701,28,Hard,724015
2024,580,bd06,2024-01-15,Australian Open,GS,Australia,72,10,80220,128,Hard,38923200
2024,301,bd06,2024-01-08,Auckland,250,New Zealand,51,0,7095,28,Hard,661585
2024,336,bd06,2024-01-01,Hong Kong,250,Hong Kong,57,50,19995,28,Hard,661585
2024,352,z371,2024-10-28,ATP Masters 1000 Paris,1000,France,47,10,25676,56,Hard,5950575
2024,337,z371,2024-10-21,Vienna,500,Austria,46,0,20939,32,Hard,2470310
2024,9410,z371,2024-10-14,Almaty,250,Kazakhstan,46,0,11120,28,Hard,1036700
2024,5014,z371,2024-09-30,ATP Masters 1000 Shanghai,1000,China,41,10,23250,96,Hard,8995555
2024,747,z371,2024-09-23,Beijing,500,China,41,0,29015,32,Hard,3720165
2024,4713,z371,2024-09-16,Hangzhou,250,China,48,165,88795,28,Hard,1000630
2024,560,z371,2024-08-26,US Open,GS,"NY, U.S.A.",41,10,100000,128,Hard,33977000
2024,422,z371,2024-08-12,ATP Masters 1000 Cincinnati,1000,"OH, U.S.A.",44,50,49030,56,Hard,6795555
2024,96,z371,2024-07-29,Paris Olympics,OL,France,41,0,0,64,Clay,0
2024,414,z371,2024-07-15,Hamburg,500,Germany,34,100,56158,32,Clay,1891995
2024,540,z371,2024-07-01,Wimbledon,GS,Great Britain,38,50,117599,128,Grass,20747000
2024,741,z371,2024-06-24,Eastbourne,250,Great Britain,33,0,8489,28,Grass,740160
2024,500,z371,2024-06-17,Halle,500,Germany,42,200,129415,32,Grass,2255655
2024,321,z371,2024-06-10,Stuttgart,250,Germany,44,0,8508,28,Grass,734915
2024,520,z371,2024-05-27,Roland Garros,GS,France,44,100,171730,128,Clay,24961000
2024,416,z371,2024-05-06,ATP Masters 1000 Rome,1000,Italy,56,200,174339,96,Clay,7877020
2024,1536,z371,2024-04-22,ATP Masters 1000 Madrid,1000,Spain,49,10,21696,96,Clay,7877020
2024,425,z371,2024-04-15,Barcelona,500,Spain,47,0,11551,48,Clay,2782960
2024,410,z371,2024-04-08,ATP Masters 1000 Monte-Carlo,1000,Monaco,49,50,46520,56,Clay,5950575
2024,403,z371,2024-03-18,ATP Masters 1000 Miami,1000,"FL, U.S.A.",49,10,23250,96,Hard,8995555
