,playercode,EventId,TotPrizeMoney,Same_Nationality,iscritto,ha_pts_def,EventType_500,Surface_Grass,Surface_Hard
478,sx91,451,2760000,0,0,0,1,0,1
479,sx91,6932,2396115,1,1,0,1,0,0
480,sx91,496,740730,0,0,0,0,0,1
481,sx91,499,680140,0,0,0,0,0,1
482,sx91,506,658390,0,1,0,0,0,0
483,sx91,8998,680140,0,0,0,0,0,1
484,sx91,301,680140,0,0,0,0,0,1
485,mp20,341,596035,0,0,0,0,0,1
486,mp20,5100,766715,0,1,0,0,0,1
487,mp20,328,2523045,0,1,1,1,0,1
488,mp20,337,2736875,0,0,1,1,0,1
489,mp20,747,4016050,0,1,0,1,0,1
490,mp20,329,2226470,0,0,0,1,0,1
491,mp20,6242,798335,0,1,0,0,0,1
492,mp20,319,596035,0,0,0,0,0,0
493,mp20,418,2396115,0,1,0,1,0,1
494,mp20,439,596035,0,0,0,0,0,0
495,mp20,8994,596035,0,1,0,0,1,0
496,mp20,741,756875,0,0,0,0,1,0
497,mp20,311,2522220,0,0,1,1,1,0
498,mp20,500,2522220,0,1,1,1,1,0
499,mp20,308,2500000,0,1,1,1,0,0
500,mp20,425,2889200,0,0,1,1,0,0
501,mp20,495,3237670,0,0,1,1,0,1
502,mp20,807,2585410,0,1,1,1,0,1
503,mp20,8996,680140,0,0,1,0,0,0
504,mp20,407,2401550,0,0,1,1,0,1
505,mp20,424,2760000,0,0,1,1,0,1
506,mp20,8998,680140,0,0,0,0,0,1
507,mp20,301,680140,0,0,0,0,0,1
508,gd64,7485,706850,0,0,1,0,0,1
509,gd64,429,706850,0,0,1,0,0,1
510,gd64,9410,1055255,0,0,1,0,0,1
511,gd64,7581,1190210,0,0,0,0,0,1
512,gd64,4713,1019185,0,0,0,0,0,1
513,gd64,7581,1190210,0,0,0,0,0,1
514,gd64,4713,1019185,0,0,0,0,0,1
515,gd64,319,596035,0,0,0,0,0,0
516,gd64,418,2396115,0,0,0,1,0,1
517,gd64,439,596035,0,1,0,0,0,0
518,gd64,314,596035,0,0,1,0,0,0
519,gd64,7480,889890,0,0,1,0,0,1
520,gd64,316,596035,0,1,1,0,0,0
521,gd64,8994,596035,0,0,0,0,1,0
522,gd64,741,756875,0,0,0,0,1,0
523,gd64,311,2522220,0,0,1,1,1,0
524,gd64,500,2522220,0,0,1,1,1,0
525,gd64,4462,596035,0,0,1,0,0,0
526,gd64,360,596035,0,0,1,0,0,0
527,gd64,717,680140,0,1,1,0,0,0
528,gd64,495,3237670,0,0,1,1,0,1
529,gd64,807,2585410,0,0,1,1,0,1
530,gd64,8996,680140,0,1,1,0,0,0
531,gd64,496,740730,0,0,0,0,0,1
532,gd64,499,680140,0,0,0,0,0,1
533,gd64,506,658390,0,0,0,0,0,0
534,gd64,375,596035,0,0,0,0,0,1
535,bk24,328,2523045,0,0,1,1,0,1
536,bk24,337,2736875,0,0,1,1,0,1
537,bk24,7485,706850,0,0,0,0,0,1
538,bk24,429,706850,0,0,0,0,0,1
539,bk24,9410,1055255,0,0,0,0,0,1
540,bk24,319,596035,0,0,0,0,0,0
541,bk24,418,2396115,0,0,0,1,0,1
542,bk24,439,596035,0,0,0,0,0,0
543,bk24,314,596035,0,0,0,0,0,0
544,bk24,7480,889890,0,0,0,0,0,1
545,bk24,316,596035,0,0,0,0,0,0
546,bk24,8994,596035,0,0,1,0,1,0
547,bk24,741,756875,0,0,1,0,1,0
548,bk24,414,2158560,0,0,1,1,0,0
549,bk24,322,596035,0,0,1,0,0,0
550,bk24,4462,596035,0,0,0,0,0,0
551,bk24,360,596035,0,0,0,0,0,0
552,bk24,717,680140,0,0,0,0,0,0
553,bk24,495,3237670,0,0,0,1,0,1
554,bk24,807,2585410,0,0,0,1,0,1
555,bk24,8996,680140,0,0,0,0,0,0
556,bk24,451,2760000,0,0,0,1,0,1
557,bk24,6932,2396115,0,0,0,1,0,0
558,bk24,496,740730,0,0,0,0,0,1
559,bk24,499,680140,0,0,0,0,0,1
560,bk24,506,658390,0,0,0,0,0,0
561,bk24,407,2401550,0,0,1,1,0,1
562,bk24,424,2760000,0,0,1,1,0,1
563,bk24,375,596035,1,1,0,0,0,1
564,bk24,8998,680140,0,0,1,0,0,1
565,bk24,301,680140,0,0,1,0,0,1
566,mu94,341,596035,0,0,0,0,0,1
567,mu94,5100,766715,0,0,0,0,0,1
568,mu94,328,2523045,0,1,0,1,0,1
569,mu94,337,2736875,0,0,0,1,0,1
570,mu94,747,4016050,0,0,1,1,0,1
571,mu94,329,2226470,0,1,1,1,0,1
572,mu94,7581,1190210,0,0,0,0,0,1
573,mu94,4713,1019185,0,0,0,0,0,1
574,mu94,6242,798335,0,1,1,0,0,1
575,mu94,319,596035,0,0,0,0,0,0
576,mu94,418,2396115,0,1,0,1,0,1
577,mu94,439,596035,0,0,0,0,0,0
578,mu94,308,2500000,0,0,1,1,0,0
579,mu94,425,2889200,1,1,1,1,0,0
