"playercode","EventId","iscritto","Year","date_tournament","EventName","EventType","EventCountry","Surface","TotPrizeMoney","Same_Nationality","Rank","ha_pts_def"
l0bv,301,1,2023,"2023-01-09",Auckland,250,New Zealand,Hard,642735,0,78,1
l0bv,407,0,2023,"2023-02-13",Rotterdam,500,Netherlands,Hard,2074505,0,53,1
l0bv,375,0,2023,"2023-02-06",Montpellier,250,France,Hard,562815,0,37,0
l0bv,8998,0,2023,"2023-01-09",Adelaide 2,250,Australia,Hard,642735,0,78,1
l0bv,9158,0,2023,"2023-02-06",Cordoba,250,Argentina,Clay,642735,0,37,0
l0bv,499,0,2023,"2023-02-13",Delray Beach,250,"FL, U.S.A.",Hard,642735,0,53,1
l0bv,424,0,2023,"2023-02-06",Dallas,250,"TX, U.S.A.",Hard,737170,0,37,0
sh90,301,1,2023,"2023-01-09",Auckland,250,New Zealand,Hard,642735,0,82,0
sh90,375,0,2023,"2023-02-06",Montpellier,250,France,Hard,562815,0,162,1
sh90,8998,0,2023,"2023-01-09",Adelaide 2,250,Australia,Hard,642735,0,82,0
sh90,9158,1,2023,"2023-02-06",Cordoba,250,Argentina,Clay,642735,0,162,1
sh90,424,0,2023,"2023-02-06",Dallas,250,"TX, U.S.A.",Hard,737170,0,162,1
kf17,506,0,2023,"2023-02-13",Buenos Aires,250,Argentina,Clay,626595,0,63,1
kf17,301,0,2023,"2023-01-09",Auckland,250,New Zealand,Hard,642735,0,84,1
kf17,407,1,2023,"2023-02-13",Rotterdam,500,Netherlands,Hard,2074505,0,63,1
kf17,375,0,2023,"2023-02-06",Montpellier,250,France,Hard,562815,0,60,1
kf17,8998,1,2023,"2023-01-09",Adelaide 2,250,Australia,Hard,642735,0,84,1
kf17,9158,0,2023,"2023-02-06",Cordoba,250,Argentina,Clay,642735,0,60,1
kf17,499,0,2023,"2023-02-13",Delray Beach,250,"FL, U.S.A.",Hard,642735,0,63,1
kf17,424,0,2023,"2023-02-06",Dallas,250,"TX, U.S.A.",Hard,737170,0,60,1
tc61,506,0,2023,"2023-02-13",Buenos Aires,250,Argentina,Clay,626595,0,93,1
tc61,301,0,2023,"2023-01-09",Auckland,250,New Zealand,Hard,642735,0,85,1
tc61,407,0,2023,"2023-02-13",Rotterdam,500,Netherlands,Hard,2074505,0,93,1
tc61,8998,1,2023,"2023-01-09",Adelaide 2,250,Australia,Hard,642735,1,85,1
tc61,499,1,2023,"2023-02-13",Delray Beach,250,"FL, U.S.A.",Hard,642735,0,93,1
gd64,301,0,2023,"2023-01-09",Auckland,250,New Zealand,Hard,642735,0,87,1
gd64,375,0,2023,"2023-02-06",Montpellier,250,France,Hard,562815,0,103,0
gd64,8998,0,2023,"2023-01-09",Adelaide 2,250,Australia,Hard,642735,0,87,1
gd64,9158,1,2023,"2023-02-06",Cordoba,250,Argentina,Clay,642735,0,103,0
gd64,424,0,2023,"2023-02-06",Dallas,250,"TX, U.S.A.",Hard,737170,0,103,0
hh26,506,0,2023,"2023-02-13",Buenos Aires,250,Argentina,Clay,626595,0,86,0
hh26,301,1,2023,"2023-01-09",Auckland,250,New Zealand,Hard,642735,0,108,1
hh26,407,0,2023,"2023-02-13",Rotterdam,500,Netherlands,Hard,2074505,0,86,0
hh26,375,1,2023,"2023-02-06",Montpellier,250,France,Hard,562815,1,85,0
hh26,8998,0,2023,"2023-01-09",Adelaide 2,250,Australia,Hard,642735,0,108,1
hh26,9158,0,2023,"2023-02-06",Cordoba,250,Argentina,Clay,642735,0,85,0
hh26,499,0,2023,"2023-02-13",Delray Beach,250,"FL, U.S.A.",Hard,642735,0,86,0
hh26,424,0,2023,"2023-02-06",Dallas,250,"TX, U.S.A.",Hard,737170,0,85,0
f724,506,0,2023,"2023-02-13",Buenos Aires,250,Argentina,Clay,626595,0,75,1
f724,301,0,2023,"2023-01-09",Auckland,250,New Zealand,Hard,642735,0,73,0
f724,407,0,2023,"2023-02-13",Rotterdam,500,Netherlands,Hard,2074505,0,75,1
f724,8998,1,2023,"2023-01-09",Adelaide 2,250,Australia,Hard,642735,0,73,0
f724,499,0,2023,"2023-02-13",Delray Beach,250,"FL, U.S.A.",Hard,642735,0,75,1
sx50,506,0,2023,"2023-02-13",Buenos Aires,250,Argentina,Clay,626595,0,83,0
sx50,301,0,2023,"2023-01-09",Auckland,250,New Zealand,Hard,642735,0,98,1
sx50,407,1,2023,"2023-02-13",Rotterdam,500,Netherlands,Hard,2074505,0,83,0
sx50,375,0,2023,"2023-02-06",Montpellier,250,France,Hard,562815,0,82,1
sx50,8998,1,2023,"2023-01-09",Adelaide 2,250,Australia,Hard,642735,0,98,1
sx50,9158,0,2023,"2023-02-06",Cordoba,250,Argentina,Clay,642735,0,82,1
sx50,499,0,2023,"2023-02-13",Delray Beach,250,"FL, U.S.A.",Hard,642735,0,83,0
sx50,424,0,2023,"2023-02-06",Dallas,250,"TX, U.S.A.",Hard,737170,0,82,1
bf23,506,1,2023,"2023-02-13",Buenos Aires,250,Argentina,Clay,626595,1,88,0
bf23,301,1,2023,"2023-01-09",Auckland,250,New Zealand,Hard,642735,0,90,1
bf23,407,0,2023,"2023-02-13",Rotterdam,500,Netherlands,Hard,2074505,0,88,0
bf23,375,0,2023,"2023-02-06",Montpellier,250,France,Hard,562815,0,88,0
bf23,8998,0,2023,"2023-01-09",Adelaide 2,250,Australia,Hard,642735,0,90,1
bf23,9158,1,2023,"2023-02-06",Cordoba,250,Argentina,Clay,642735,1,88,0
bf23,499,0,2023,"2023-02-13",Delray Beach,250,"FL, U.S.A.",Hard,642735,0,88,0
bf23,424,0,2023,"2023-02-06",Dallas,250,"TX, U.S.A.",Hard,737170,0,88,0
bk24,506,0,2023,"2023-02-13",Buenos Aires,250,Argentina,Clay,626595,0,71,0
bk24,407,1,2023,"2023-02-13",Rotterdam,500,Netherlands,Hard,2074505,0,71,0
bk24,499,0,2023,"2023-02-13",Delray Beach,250,"FL, U.S.A.",Hard,642735,0,71,0
bg23,506,0,2023,"2023-02-13",Buenos Aires,250,Argentina,Clay,626595,0,84,0
bg23,301,0,2023,"2023-01-09",Auckland,250,New Zealand,Hard,642735,0,89,0
bg23,407,1,2023,"2023-02-13",Rotterdam,500,Netherlands,Hard,2074505,0,84,0
bg23,375,1,2023,"2023-02-06",Montpellier,250,France,Hard,562815,0,87,0
bg23,8998,1,2023,"2023-01-09",Adelaide 2,250,Australia,Hard,642735,0,89,0
bg23,9158,0,2023,"2023-02-06",Cordoba,250,Argentina,Clay,642735,0,87,0
bg23,499,0,2023,"2023-02-13",Delray Beach,250,"FL, U.S.A.",Hard,642735,0,84,0
bg23,424,0,2023,"2023-02-06",Dallas,250,"TX, U.S.A.",Hard,737170,0,87,0
da81,301,1,2023,"2023-01-09",Auckland,250,New Zealand,Hard,642735,0,95,1
da81,8998,0,2023,"2023-01-09",Adelaide 2,250,Australia,Hard,642735,0,95,1
kd46,301,0,2023,"2023-01-09",Auckland,250,New Zealand,Hard,642735,0,110,1
kd46,8998,1,2023,"2023-01-09",Adelaide 2,250,Australia,Hard,642735,1,110,1
ae14,506,0,2023,"2023-02-13",Buenos Aires,250,Argentina,Clay,626595,0,97,0
ae14,301,1,2023,"2023-01-09",Auckland,250,New Zealand,Hard,642735,0,91,0
ae14,407,0,2023,"2023-02-13",Rotterdam,500,Netherlands,Hard,2074505,0,97,0
ae14,375,0,2023,"2023-02-06",Montpellier,250,France,Hard,562815,0,99,1
ae14,8998,0,2023,"2023-01-09",Adelaide 2,250,Australia,Hard,642735,0,91,0
ae14,9158,0,2023,"2023-02-06",Cordoba,250,Argentina,Clay,642735,0,99,1
ae14,499,1,2023,"2023-02-13",Delray Beach,250,"FL, U.S.A.",Hard,642735,0,97,0
ae14,424,1,2023,"2023-02-06",Dallas,250,"TX, U.S.A.",Hard,737170,0,99,1
gj37,506,0,2023,"2023-02-13",Buenos Aires,250,Argentina,Clay,626595,0,61,1
gj37,301,0,2023,"2023-01-09",Auckland,250,New Zealand,Hard,642735,0,61,1
gj37,407,1,2023,"2023-02-13",Rotterdam,500,Netherlands,Hard,2074505,0,61,1
gj37,375,0,2023,"2023-02-06",Montpellier,250,France,Hard,562815,0,57,0
gj37,8998,0,2023,"2023-01-09",Adelaide 2,250,Australia,Hard,642735,0,61,1
gj37,9158,0,2023,"2023-02-06",Cordoba,250,Argentina,Clay,642735,0,57,0
gj37,499,0,2023,"2023-02-13",Delray Beach,250,"FL, U.S.A.",Hard,642735,0,61,1
gj37,424,0,2023,"2023-02-06",Dallas,250,"TX, U.S.A.",Hard,737170,0,57,0
m0fh,506,0,2023,"2023-02-13",Buenos Aires,250,Argentina,Clay,626595,0,115,0
m0fh,301,0,2023,"2023-01-09",Auckland,250,New Zealand,Hard,642735,0,115,1
m0fh,407,0,2023,"2023-02-13",Rotterdam,500,Netherlands,Hard,2074505,0,115,0
m0fh,8998,1,2023,"2023-01-09",Adelaide 2,250,Australia,Hard,642735,0,115,1
m0fh,499,0,2023,"2023-02-13",Delray Beach,250,"FL, U.S.A.",Hard,642735,0,115,0
pd07,506,0,2023,"2023-02-13",Buenos Aires,250,Argentina,Clay,626595,0,111,1
pd07,407,0,2023,"2023-02-13",Rotterdam,500,Netherlands,Hard,2074505,0,111,1
pd07,499,0,2023,"2023-02-13",Delray Beach,250,"FL, U.S.A.",Hard,642735,0,111,1
z371,506,0,2023,"2023-02-13",Buenos Aires,250,Argentina,Clay,626595,0,92,1
z371,301,0,2023,"2023-01-09",Auckland,250,New Zealand,Hard,642735,0,97,1
z371,407,0,2023,"2023-02-13",Rotterdam,500,Netherlands,Hard,2074505,0,92,1
